"","WT_1","WT_2","DEL_slyA_1","DEL_slyA_2"
"BW25113_RS00935",6.33800778222083,4.59543994172535,11.7235443042196,4.34733485659141
"BW25113_RS00940",25.3520311288833,31.2489916037324,36.2364096675877,33.6918451385835
"BW25113_RS00945",10.8651561980929,14.7054078135211,13.8550978140777,23.9103417112528
"BW25113_RS00950",25.3520311288833,16.5435837902113,26.6444188732263,15.2156719980699
"BW25113_RS00955",19.9194530298369,20.2199357435915,22.3813118535101,31.5181777102877
"BW25113_RS00960",23.5411717625345,16.5435837902113,21.315535098581,28.2576765678442
"BW25113_RS00965",33.500898277453,37.6826075221479,35.1706329126587,38.0391799951749
"BW25113_RS00970",19.0140233466625,18.3817597669014,13.8550978140777,17.3893394263657
"BW25113_RS00975",122.233007228545,118.562350496514,122.564326816841,104.336036558194
"BW25113_RS00980",12.6760155644417,22.0581117202817,22.3813118535101,22.8235079971049
"BW25113_RS00985",22.6357420793601,17.4626717785563,19.1839815887229,15.2156719980699
"BW25113_RS00990",28.0683201784065,20.2199357435915,40.4995166873039,32.6050114244356
"BW25113_RS00995",9.05429683174405,16.5435837902113,9.59199079436145,6.52100228488712
"BW25113_RS01000",14.4868749307905,14.7054078135211,19.1839815887229,23.9103417112528
"BW25113_RS01005",30.7846092279298,22.0581117202817,17.0524280788648,26.0840091395485
"BW25113_RS01010",5785.69567548445,5893.19218126859,5542.03912563106,5575.45695357849
"BW25113_RS01020",1.81085936634881,1.83817597669014,4.2631070197162,2.17366742829571
"BW25113_RS01025",41232.3623420792,41768.87271833,42650.2541787507,42407.1646923351
"BW25113_RS01030",5.43257809904643,6.43361591841549,2.1315535098581,7.60783599903497
"BW25113_RS01040",13.5814452476161,13.786319825176,10.6577675492905,6.52100228488712
"BW25113_RS01045",11.7705858812673,21.1390237319366,17.0524280788648,24.9971754254006
