"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BW25113_RS06385",90.2033509482458,-1.07365329897591,0.247063492146164,-4.34565742453253,1.38859141475667e-05,0.000160367215019453
"BW25113_RS07855",43.8779285247841,-1.57334585894082,0.36296020941266,-4.33476127172948,1.45918388823331e-05,0.000167608960134907
"BW25113_RS02540",79.9388829276466,1.11004325013625,0.256241491071645,4.33201994530183,1.47747553504025e-05,0.000168797608169921
"BW25113_RS15870",42.6058195690991,-1.66606012592745,0.38536937135559,-4.32328111615838,1.53725649293852e-05,0.000174688237833923
"BW25113_RS15560",197.915580471831,-0.712473782903377,0.165507941246299,-4.30477098282018,1.67158568713813e-05,0.000188942531125985
"BW25113_RS13640",128.176187413254,0.856133555893822,0.200855821426194,4.26242839174275,2.02217308708717e-05,0.000227360730691018
"BW25113_RS09895",38.8790820977242,1.61349497577114,0.378979889203842,4.25746859328277,2.06754694921547e-05,0.000231238803530677
"BW25113_RS11195",193.92522797185,-0.696513507300833,0.16377012803304,-4.25299482675078,2.10930451302406e-05,0.000234673931422834
"BW25113_RS23125",1432.09521482777,-0.270500423127629,0.0638716686997642,-4.23506115675709,2.28489512574185e-05,0.000252885528239658
"BW25113_RS19275",84.3719693608138,-1.09658001120539,0.259613895602237,-4.22388797279749,2.40123443828076e-05,0.000264384620795161
"BW25113_RS22020",694.973692394679,0.370232363123061,0.0879724468030506,4.20850364605549,2.57067382135388e-05,0.000281581539710154
"BW25113_RS15555",184.362816133922,-0.711216696185881,0.169141165316525,-4.20487049888142,2.61231687164681e-05,0.000284675556525614
"BW25113_RS18640",96.5802135837528,-0.995126520926831,0.237045289280551,-4.1980438588217,2.69230496962763e-05,0.000291895309207077
"BW25113_RS14210",113.605461915695,-0.905909025342751,0.218224542929874,-4.15127012379109,3.30635250306725e-05,0.000356649698934919
"BW25113_RS00580",615.934242686074,0.381563165276915,0.0923394481508865,4.13217939805559,3.59339780764477e-05,0.000385655067739653
"BW25113_RS21520",190.397245389863,0.65713203856846,0.161952117927445,4.05756989768331,4.95859791176024e-05,0.000529498520728166
"BW25113_RS17960",136.364554743262,0.790806321235915,0.195004078846254,4.05533220594532,5.00630999242874e-05,0.000531920436695554
"BW25113_RS12655",241.036195416748,-0.595337796160556,0.147536808003269,-4.03518148601511,5.45601083934943e-05,0.000576817066349131
"BW25113_RS18115",106.767140244477,0.878272953830075,0.219813211473036,3.99554216029372,6.45463686393157e-05,0.000679015016626465
"BW25113_RS11315",57.6575144959941,1.21859780193241,0.305455323824707,3.98944692360881,6.62275358397267e-05,0.000693268540194183
"BW25113_RS08695",57.9662500901508,1.20151731288205,0.306687737026606,3.91772206000469,8.93896880183682e-05,0.000931142583524669
"BW25113_RS10915",3089.059049799,-0.170602252752807,0.0435814189432824,-3.91456397908548,9.05677213126088e-05,0.000938811745313628
"BW25113_RS08065",62.2331210566862,1.17017223295266,0.301376464778503,3.88275917236166,0.000103277843453954,0.00106536610359055
"BW25113_RS14095",86.8338147022679,-0.951926794799673,0.245911243992429,-3.87101776781293,0.000108381890979118,0.00111261603058274
"BW25113_RS17665",100.472472691899,0.882302958646105,0.229277840223954,3.84818244006612,0.00011899742232581,0.00121571885789589
"BW25113_RS03805",697.485261919456,-0.338222447077612,0.0879441889987597,-3.84587601441616,0.000120122496578523,0.00122134117334622
"BW25113_RS04530",52.2362413272725,-1.26878783909372,0.330041673684934,-3.84432615714139,0.000120884142860438,0.00122323239799253
"BW25113_RS05795",111.152627630235,0.82312287888921,0.214326889865311,3.84050213860931,0.000122782902615049,0.00123655766851649
"BW25113_RS00590",611.67118386753,-0.358527210418743,0.0936199649493836,-3.82960205777244,0.000128350645206466,0.00128405339572343
