Geneid	WT_1	WT_2	DEL_slyA_1	DEL_slyA_2
BW25113_RS02080	32	21	19	25
BW25113_RS02085	30	32	23	18
BW25113_RS02090	8	8	10	4
BW25113_RS02095	37	50	38	34
BW25113_RS02100	89	80	102	84
BW25113_RS02105	50	37	32	37
BW25113_RS02110	104	106	118	111
BW25113_RS02115	67	67	50	40
BW25113_RS02120	12	15	20	20
BW25113_RS02130	332	316	211	189
BW25113_RS02135	9	2	10	8
BW25113_RS02140	29	24	29	30
BW25113_RS02145	60	65	51	65
BW25113_RS02150	95	78	81	68
BW25113_RS02155	57	72	47	60
BW25113_RS02160	47	27	25	28
BW25113_RS02165	19	21	21	22
BW25113_RS02170	67	64	38	43
BW25113_RS02175	110	96	93	66
BW25113_RS02180	59	48	44	28
BW25113_RS02185	11	18	10	16
BW25113_RS02190	55	75	59	50
BW25113_RS02195	17	17	20	16
BW25113_RS02200	20	28	25	31
BW25113_RS02205	36	26	28	33
BW25113_RS02210	20	11	12	15
BW25113_RS02215	110	117	73	82
BW25113_RS02220	73	62	59	48
BW25113_RS02225	122	94	72	71
BW25113_RS02230	515	478	428	413
BW25113_RS02235	360	319	305	343
BW25113_RS02240	30	41	23	17
BW25113_RS02245	35	35	26	26
BW25113_RS02250	28	30	33	23
BW25113_RS02260	777	813	738	764
BW25113_RS02265	212	217	357	371
BW25113_RS02270	377	397	660	616
BW25113_RS02275	488	462	1104	1135
BW25113_RS02280	113	144	169	167
BW25113_RS02285	137	162	142	119
BW25113_RS02290	11	8	3	10
BW25113_RS02295	9	10	9	10
BW25113_RS02300	30	17	6	14
BW25113_RS02305	36	24	33	24
BW25113_RS02310	21	24	12	14
BW25113_RS02315	6	8	5	4
BW25113_RS02320	30	24	18	23
BW25113_RS02325	28	28	24	19
BW25113_RS02330	0	6	3	3
BW25113_RS02335	18	18	19	11
BW25113_RS02340	13	12	15	15
BW25113_RS02345	26	14	14	15
BW25113_RS02350	4	4	6	6
BW25113_RS23035	4	5	2	3
BW25113_RS02355	10	15	16	9
BW25113_RS02360	25	37	28	25
BW25113_RS02365	21	24	24	35
BW25113_RS02370	23	26	19	20
BW25113_RS02375	17	11	26	13
BW25113_RS02380	26	30	23	27
BW25113_RS02385	214	237	276	243
BW25113_RS02390	133	140	127	166
BW25113_RS02395	17	24	17	22
BW25113_RS02400	73	71	69	52
BW25113_RS02410	4	1	4	2
BW25113_RS02415	10	14	7	13
BW25113_RS02420	9	12	1	8
BW25113_RS02425	20	23	23	21
BW25113_RS02430	156	158	139	144
BW25113_RS02435	49	50	40	45
BW25113_RS02440	60	59	51	49
BW25113_RS02445	221	200	631	600
BW25113_RS02450	109	119	134	117
BW25113_RS02455	19	26	10	16
BW25113_RS02460	16	17	15	19
BW25113_RS02465	44	29	32	29
BW25113_RS02470	52	45	37	59
BW25113_RS02475	13	25	27	27
BW25113_RS02480	78	73	47	72
BW25113_RS02485	12	15	10	9
BW25113_RS02490	24	18	22	15
BW25113_RS02495	5	6	10	8
BW25113_RS02500	94	83	74	62
BW25113_RS02505	14	12	15	16
BW25113_RS02510	17	16	13	12
BW25113_RS02515	18	7	10	11
BW25113_RS02520	28	30	23	27
BW25113_RS02525	61	60	42	37
BW25113_RS02530	16	9	13	7
BW25113_RS02535	19	7	16	16
BW25113_RS02540	59	52	99	104
BW25113_RS02545	28	34	36	31
BW25113_RS02550	25	20	19	27
BW25113_RS02555	18	14	12	10
BW25113_RS02560	46	41	41	33
BW25113_RS02565	48	51	49	32
BW25113_RS02570	3	3	7	3
BW25113_RS24960	3	0	0	1
BW25113_RS25970	2	1	1	0
BW25113_RS02590	18	13	16	18
BW25113_RS02595	6	6	7	3
BW25113_RS02600	2	3	6	2
BW25113_RS02605	18	13	19	17
BW25113_RS02610	22	28	21	10
BW25113_RS02615	4	6	8	2
BW25113_RS02620	11	10	6	7
BW25113_RS02625	9	14	7	13
BW25113_RS02630	15	17	12	8
BW25113_RS02635	12	20	9	8
BW25113_RS02640	12	9	11	8
BW25113_RS02645	20	11	14	11
BW25113_RS02650	22	22	10	21
BW25113_RS02655	9	12	5	4
BW25113_RS02660	16	16	12	11
BW25113_RS02665	9	14	10	8
BW25113_RS02670	12	6	3	3
BW25113_RS02675	11	6	10	7
BW25113_RS02680	31	24	12	21
BW25113_RS02685	15	22	6	8
BW25113_RS02690	16	28	23	16
BW25113_RS02695	70	74	77	60
BW25113_RS02700	39	46	40	30
BW25113_RS02705	9	12	10	1
BW25113_RS02710	8	6	4	4
BW25113_RS02715	39	46	22	22
BW25113_RS02720	12	7	4	1
BW25113_RS02725	5	11	3	1
BW25113_RS02730	21	18	21	26
BW25113_RS02735	11	8	12	7
BW25113_RS02740	6	3	2	3
BW25113_RS02745	8	6	7	5
BW25113_RS02750	2	2	5	1
BW25113_RS02755	67	48	44	50
BW25113_RS02780	2	1	0	2
BW25113_RS02790	4	6	3	4
BW25113_RS25485	1	1	2	0
BW25113_RS02800	12	14	6	11
BW25113_RS02805	10	9	6	6
BW25113_RS02810	9	12	8	5
BW25113_RS24970	2	0	1	1
BW25113_RS02815	9	4	7	6
BW25113_RS02820	0	3	1	0
BW25113_RS02825	1	2	1	3
BW25113_RS02830	1	1	1	1
BW25113_RS02835	0	0	1	2
BW25113_RS02840	3	2	3	4
BW25113_RS02850	0	2	0	1
BW25113_RS02855	57	47	15	16
BW25113_RS02860	3	2	2	4
BW25113_RS02865	7	2	4	7
BW25113_RS26500	6	12	6	3
BW25113_RS02875	8	3	4	1
BW25113_RS02880	2	2	1	2
BW25113_RS02885	2	2	1	1
BW25113_RS02890	5	2	1	5
BW25113_RS02900	5	1	1	4
BW25113_RS26455	0	0	0	0
BW25113_RS02920	0	1	1	1
BW25113_RS02925	143	158	96	95
BW25113_RS02935	0	1	0	1
BW25113_RS02940	5	5	7	1
BW25113_RS02945	32	24	23	14
BW25113_RS02950	15	17	12	17
BW25113_RS02955	20	12	12	15
BW25113_RS02960	7	9	6	5
BW25113_RS02965	18	9	3	10
BW25113_RS02970	2	3	4	1
BW25113_RS02975	16	16	7	9
BW25113_RS02980	35	36	27	23
BW25113_RS02985	28	20	25	13
BW25113_RS02990	33	23	29	15
BW25113_RS02995	34	28	38	37
BW25113_RS03000	3	7	5	4
BW25113_RS03005	1	0	3	3
BW25113_RS03010	16	18	16	12
BW25113_RS03020	4	1	3	1
BW25113_RS03025	0	1	2	3
BW25113_RS03030	9	6	11	9
BW25113_RS03035	21	35	17	18
BW25113_RS03040	16	11	14	12
BW25113_RS03045	4	0	5	1
BW25113_RS03050	45	41	33	36
BW25113_RS03055	15	5	6	8
BW25113_RS03060	5	6	10	7
BW25113_RS03065	14	15	13	13
BW25113_RS03070	13	17	9	12
BW25113_RS03075	7	6	5	5
BW25113_RS03080	11	8	7	17
BW25113_RS03085	9	12	13	10
BW25113_RS03090	16	13	9	15
BW25113_RS03095	10	8	8	7
BW25113_RS03100	11	6	6	12
BW25113_RS03105	4	5	3	4
BW25113_RS03110	164	168	140	145
BW25113_RS03115	10	5	6	8
BW25113_RS03120	25	15	22	10
BW25113_RS03125	14	20	8	9
BW25113_RS03130	7	3	11	7
BW25113_RS03135	11	12	8	5
BW25113_RS03140	0	0	0	0
BW25113_RS03145	12	13	20	13
BW25113_RS03150	342	381	416	414
BW25113_RS03155	132	132	361	341
BW25113_RS03160	33	53	35	36
BW25113_RS03165	18	13	13	19
BW25113_RS26315	2	2	1	1
BW25113_RS03175	27	35	25	23
BW25113_RS03180	30	28	22	28
BW25113_RS03185	19	16	12	18
BW25113_RS03190	7	9	7	8
BW25113_RS03195	3	3	6	6
BW25113_RS03200	15	23	16	15
BW25113_RS03205	7	8	5	12
BW25113_RS03210	2	5	2	2
BW25113_RS03215	7	6	12	9
BW25113_RS03220	16	26	25	22
BW25113_RS03225	16	23	8	12
BW25113_RS03230	79	70	38	30
BW25113_RS03235	9	11	10	6
BW25113_RS03240	189	168	157	153
BW25113_RS03245	6	10	6	6
BW25113_RS03255	8	11	6	12
BW25113_RS03260	98	80	203	219
BW25113_RS03265	10	4	9	13
BW25113_RS03275	21	23	19	21
BW25113_RS03280	16	29	31	30
BW25113_RS03285	43	40	50	51
BW25113_RS03290	41	43	47	47
BW25113_RS03295	30	30	21	25
BW25113_RS03300	49	45	32	45
BW25113_RS03305	18	12	11	13
BW25113_RS03310	16	13	21	18
BW25113_RS03315	13	11	12	9
BW25113_RS03320	18	26	9	18
BW25113_RS03325	43	39	40	35
BW25113_RS03330	56	55	31	35
BW25113_RS03335	283	257	201	192
BW25113_RS03340	40	25	22	24
BW25113_RS03345	13	16	15	8
BW25113_RS03350	8	6	8	4
BW25113_RS03355	1	4	1	2
BW25113_RS03360	0	1	0	0
BW25113_RS03365	2	0	0	0
BW25113_RS03370	21	12	10	11
BW25113_RS03375	26	19	16	16
BW25113_RS03380	115	141	53	78
BW25113_RS03385	21	24	14	16
BW25113_RS03390	18	20	18	13
BW25113_RS03395	19	23	9	16
BW25113_RS03400	70	60	43	51
BW25113_RS03405	2	4	0	2
BW25113_RS03410	65	52	71	79
BW25113_RS03415	88	79	174	148
BW25113_RS03420	22	41	61	58
BW25113_RS03425	78	100	165	173
BW25113_RS03430	62	65	60	83
BW25113_RS03435	57	41	51	44
BW25113_RS03440	5	9	6	5
BW25113_RS03445	13	17	9	9
BW25113_RS03450	9	12	6	6
BW25113_RS03455	12	9	9	8
BW25113_RS03460	13	18	14	9
BW25113_RS03465	24	24	26	21
BW25113_RS03470	6	5	1	0
BW25113_RS03475	108	103	61	71
BW25113_RS03480	45	50	33	26
BW25113_RS03485	67	105	56	58
BW25113_RS03490	87	81	59	58
BW25113_RS03495	77	65	40	31
BW25113_RS03500	461	418	168	179
BW25113_RS03505	165	150	137	141
BW25113_RS03510	21	19	10	11
BW25113_RS03515	6	4	6	5
BW25113_RS03520	115	95	108	77
BW25113_RS03525	28	24	31	25
BW25113_RS03535	51	37	44	44
BW25113_RS03540	16	17	10	9
BW25113_RS03545	16	17	13	13
BW25113_RS03550	82	66	51	49
BW25113_RS03555	176	159	142	140
BW25113_RS03560	11	8	9	9
BW25113_RS03575	13	11	18	13
BW25113_RS03580	24	19	25	14
BW25113_RS26090	1	5	4	3
BW25113_RS03590	6	8	5	4
BW25113_RS03595	28	32	28	35
BW25113_RS03600	9	10	6	5
BW25113_RS03605	21	12	15	10
BW25113_RS03610	19	23	18	12
BW25113_RS03615	0	0	0	0
BW25113_RS03620	8	9	5	8
BW25113_RS03625	50	57	49	43
BW25113_RS03630	5	3	1	2
BW25113_RS03640	4	1	5	3
BW25113_RS03660	5	12	6	7
BW25113_RS03665	22	20	11	14
BW25113_RS03670	22	18	20	14
BW25113_RS03675	47	35	32	37
BW25113_RS03680	26	35	35	23
BW25113_RS03685	38	44	30	28
BW25113_RS03690	15	18	12	9
BW25113_RS03695	12	6	17	8
BW25113_RS03700	18	19	17	15
BW25113_RS03705	11	9	4	8
BW25113_RS03710	2	2	2	2
BW25113_RS03715	24	21	18	24
BW25113_RS03720	0	0	1	0
BW25113_RS03725	397	379	382	367
BW25113_RS25495	10	15	16	16
BW25113_RS03735	106	69	74	55
BW25113_RS03740	41	41	35	47
BW25113_RS03745	389	373	269	277
BW25113_RS03750	152	130	71	67
BW25113_RS03760	511	510	393	375
BW25113_RS03765	334	300	283	238
BW25113_RS03770	246	208	161	139
BW25113_RS03775	170	146	149	133
BW25113_RS03780	24	9	12	11
BW25113_RS03785	21	19	17	13
BW25113_RS03790	31	33	25	31
BW25113_RS03800	738	770	601	549
BW25113_RS03805	887	821	578	567
BW25113_RS03810	32	28	22	30
BW25113_RS03815	50	58	43	42
BW25113_RS03820	30	43	27	19
BW25113_RS03825	51	51	34	60
BW25113_RS03830	29	23	8	19
BW25113_RS03835	92	94	74	70
BW25113_RS03840	188	147	168	145
BW25113_RS03845	152	135	124	114
BW25113_RS03850	83	110	84	73
BW25113_RS03855	21	33	11	19
BW25113_RS03860	17	9	13	8
BW25113_RS03865	15	19	20	17
BW25113_RS03870	12	9	6	8
BW25113_RS03875	12	17	14	10
BW25113_RS03880	11	15	17	11
BW25113_RS03885	1	2	5	2
BW25113_RS23060	2	1	0	0
BW25113_RS03890	8	12	14	19
BW25113_RS03895	9	12	6	10
BW25113_RS03900	19	15	13	13
BW25113_RS03905	12	6	3	13
BW25113_RS03915	51	61	61	52
BW25113_RS03920	200	193	196	200
BW25113_RS03925	241	232	226	213
BW25113_RS03930	289	270	253	243
BW25113_RS03935	201	170	202	190
BW25113_RS03940	146	119	169	128
BW25113_RS03945	20	16	23	18
BW25113_RS03955	15	12	10	6
BW25113_RS03960	5	6	2	2
BW25113_RS03965	25	27	18	18
BW25113_RS03970	16	9	9	6
BW25113_RS03975	25	21	9	13
BW25113_RS03980	8	13	10	11
BW25113_RS03985	56	45	55	75
BW25113_RS03990	3	4	2	1
BW25113_RS03995	0	0	0	0
BW25113_RS04000	0	0	2	1
BW25113_RS04005	4	1	2	5
BW25113_RS04010	22	39	37	39
BW25113_RS04015	8	11	9	3
BW25113_RS04020	15	17	13	23
BW25113_RS04025	13	11	12	11
BW25113_RS04030	9	10	4	11
BW25113_RS04035	9	6	5	9
BW25113_RS04040	4	3	7	3
BW25113_RS04045	76	59	67	65
BW25113_RS04050	23	21	20	21
BW25113_RS04060	52	50	80	55
BW25113_RS04065	27	29	37	29
BW25113_RS04070	17	28	29	37
BW25113_RS04075	9	6	13	6
BW25113_RS04080	15	14	21	16
BW25113_RS04085	15	20	20	14
BW25113_RS04090	7	4	1	11
BW25113_RS04095	8	10	7	8
BW25113_RS04100	18	16	9	9
BW25113_RS04105	6	5	6	2
BW25113_RS04110	17	21	10	7
BW25113_RS04115	26	15	5	14
